"","CountrySender","CountryReceiver","HaveTreatise","DistanceSenderReceiver","logGDPsender","logGDPreceiver","LatSender","LatReceiver","LongSender","LongReceiver","logProtectedSpeciesSender","logProtectedSpeciesReceiver","logTonsFishTakenSender","logTonsFishTakenReceiver","numMultilateralTretiseSender","numMultilateralTretiseReceiver"
"13272","ISR","GEO",0,70,0.0873556634401744,-0.0314199281289609,31.5,42,34.75,43.5,1.27314680739006,-1.64293297570956,-2.23027483216064,-2.45165265172205,8,2
"13273","ISR","RUS",0,90,0.0873556634401744,0.157993272140004,31.5,60,34.75,100,1.27314680739006,1.27314680739006,-2.23027483216064,6.40260134826019,8,52
"13274","ISR","ROU",0,80,0.0873556634401744,0.0758256022246369,31.5,46,34.75,25,1.27314680739006,-0.400292288590274,-2.23027483216064,-1.95545779900213,8,28
"13275","ISR","BGR",0,70,0.0873556634401744,0.0273921986726169,31.5,43,34.75,25,1.27314680739006,-0.400292288590274,-2.23027483216064,-2.03716976185245,8,31
"13276","ISR","HUN",0,80,0.0873556634401744,0.0668649687921068,31.5,47,34.75,20,1.27314680739006,-1.81450585096337,-2.23027483216064,-1.78301814250388,8,7
"13277","ISR","POL",0,80,0.0873556634401744,0.116040811439033,31.5,52,34.75,20,1.27314680739006,-2.19344323292638,-2.23027483216064,1.28537727154859,8,42
"13278","ISR","BLR",0,80,0.0873556634401744,0.0329944542212868,31.5,53,34.75,28,1.27314680739006,-3.22871941333646,-2.23027483216064,-3.17357305316491,8,4
"13279","ISR","MDA",0,70,0.0873556634401744,-0.0626882344344306,31.5,47,34.75,29,1.27314680739006,-1.64293297570956,-2.23027483216064,-3.44626347759239,8,1
"13280","ISR","UKR",0,70,0.0873556634401744,0.0686635304280219,31.5,49,34.75,32,1.27314680739006,-0.0603572807537187,-2.23027483216064,1.89199250922767,8,10
"13281","ISR","CZE",0,80,0.0873556634401744,0.0838220908588632,31.5,49.75,34.75,15.5,1.27314680739006,-3.22871941333646,-2.23027483216064,-2.2150516010743,8,5
"13282","ISR","SVK",0,80,0.0873556634401744,0.0514451621344034,31.5,48.6667,34.75,19.5,1.27314680739006,-2.40686499820977,-2.23027483216064,-2.81313817280107,8,5
"13283","ISR","SWE",0,80,0.0873556634401744,0.115183546062914,31.5,62,34.75,15,1.27314680739006,-1.32630818535416,-2.23027483216064,1.95608280451042,8,34
"13284","ISR","FIN",0,80,0.0873556634401744,0.0899976729030127,31.5,64,34.75,26,1.27314680739006,-2.40686499820977,-2.23027483216064,1.06705703688709,8,13
"13285","ISR","IRL",0,90,0.0873556634401744,0.0847066552685973,31.5,53,34.75,-8,1.27314680739006,-0.400292288590274,-2.23027483216064,1.98975740568212,8,23
"13286","ISR","ISL",0,90,0.0873556634401744,-0.028445211012218,31.5,65,34.75,-18,1.27314680739006,-1.1788313605718,-2.23027483216064,5.06262665704204,8,45
"13287","ISR","DNK",0,80,0.0873556634401744,0.100496457001233,31.5,56,34.75,10,1.27314680739006,-0.901275588935617,-2.23027483216064,3.95385387571825,8,67
"13288","ISR","NOR",0,80,0.0873556634401744,0.111747116564334,31.5,62,34.75,10,1.27314680739006,-0.400292288590274,-2.23027483216064,5.79351316651964,8,61
"13289","ISR","EST",0,80,0.0873556634401744,-0.0117536109189649,31.5,59,34.75,26,1.27314680739006,-2.64293297570956,-2.23027483216064,0.712537067655902,8,12
"13290","ISR","LVA",0,80,0.0873556634401744,-0.0010997571216893,31.5,57,34.75,25,1.27314680739006,-2.40686499820977,-2.23027483216064,1.23788687903055,8,12
"13291","ISR","LTU",0,80,0.0873556634401744,0.0160926434186837,31.5,56,34.75,24,1.27314680739006,-2.40686499820977,-2.23027483216064,1.14218626468579,8,12
"13292","ISR","ESP",0,80,0.0873556634401744,0.155525150771921,31.5,40,34.75,-4,1.27314680739006,3.23107489830225,-2.23027483216064,3.83145115896202,8,48
"13293","ISR","ITA",0,80,0.0873556634401744,0.16943130533693,31.5,42.8333,34.75,12.8333,1.27314680739006,1.8378077226983,-2.23027483216064,2.17324812410244,8,32
"13294","ISR","PRT",0,90,0.0873556634401744,0.0891177784335735,31.5,39.5,34.75,-8,1.27314680739006,2.21272162469149,-2.23027483216064,1.69045922854978,8,39
"13295","ISR","GRC",0,70,0.0873556634401744,0.0996257560319886,31.5,39,34.75,22,1.27314680739006,3.90107076960797,-2.23027483216064,0.637293954293827,8,10
"13296","ISR","SRB",0,80,0.0873556634401744,0.0179847915707216,31.5,44.0165,34.75,21.0057,1.27314680739006,-1.32630818535416,-2.23027483216064,-6.35206581372876,8,8
"13297","ISR","ALB",0,80,0.0873556634401744,-0.0314199281289609,31.5,41,34.75,20,1.27314680739006,1.52148102725942,-2.23027483216064,-2.29135502698047,8,10
"13298","ISR","MLT",0,80,0.0873556634401744,-0.0474362865175353,31.5,35.8333,34.75,14.5833,1.27314680739006,-0.901275588935617,-2.23027483216064,-2.91122308111689,8,10
"13299","ISR","HRV",0,80,0.0873556634401744,0.0367119306214194,31.5,45.1667,34.75,15.5,1.27314680739006,2.84038179783832,-2.23027483216064,-0.43891466940495,8,11
